id,supermarket,category,name,price,reference_price,reference_unit,insert_date
253881,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 3.16 violín profundo,3.9,3.9,ud,2020-07-21 16:06:00
253882,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 4.5 caoba oscuro,3.9,3.9,ud,2020-07-21 16:06:00
253883,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 5.20 violín,3.9,3.9,ud,2020-07-21 16:06:00
253884,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 5.5 caoba rojizo,3.9,3.9,ud,2020-07-21 16:06:00
253885,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 6.60 rojo pasión,3.9,3.9,ud,2020-07-21 16:06:00
253886,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 7.43 cobre cálido,3.9,3.9,ud,2020-07-21 16:06:00
253887,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 8.6 rojo intenso,3.9,3.9,ud,2020-07-21 16:06:00
253888,mercadona-es,verdura,Cebollino,1.15,5.75,100 g,2020-07-22 04:00:00
253889,mercadona-es,coloracion_cabello,Coloración permanente Garnier 3.16 violín intenso,3.65,3.65,ud,2020-07-21 16:06:00
253890,mercadona-es,coloracion_cabello,Coloración permanente Garnier 6.60 rojo intenso,3.65,3.65,ud,2020-07-21 16:06:00
253891,mercadona-es,coloracion_cabello,Coloración permanente sin amoníaco Garnier 5.5 caoba,6.35,6.35,ud,2020-07-21 16:06:00
253892,mercadona-es,coloracion_cabello,Coloración permanente L'Oréal 4.54 caoba cobrizo,7.95,7.95,ud,2020-07-21 16:06:00
253893,mercadona-es,coloracion_cabello,Coloración permanente L'Oréal 5.52 caoba sutil,7.95,7.95,ud,2020-07-21 16:06:00
253894,mercadona-es,coloracion_cabello,Coloración permanente L'Oréal 6.66 rojo escarlata intenso,7.95,7.95,ud,2020-07-21 16:06:00
253895,mercadona-es,coloracion_cabello,Coloración permanente sin amoníaco Azalea 5.69 violín,3.5,3.5,ud,2020-07-21 16:06:00
253896,mercadona-es,coloracion_cabello,Coloración sin amoníaco L'Oréal 316 violín,6.6,6.6,ud,2020-07-21 16:06:00
253897,mercadona-es,coloracion_cabello,Coloración sin amoníaco L'Oréal 354 caoba efecto henna,6.6,6.6,ud,2020-07-21 16:06:00
253898,mercadona-es,coloracion_cabello,Coloración sin amoníaco L'Oréal 443 cobrizo efecto henna,6.6,6.6,ud,2020-07-21 16:06:00
253899,mercadona-es,coloracion_cabello,Coloración sin amoníaco L'Oréal 550 caoba,6.6,6.6,ud,2020-07-21 16:06:00
253900,mercadona-es,coloracion_cabello,Coloración sin amoníaco L'Oréal 630 caramelo,6.6,6.6,ud,2020-07-21 16:06:00
253901,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 6 rubio oscuro,3.9,3.9,ud,2020-07-21 16:06:00
253902,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 6.1 rubio oscuro ceniza,3.9,3.9,ud,2020-07-21 16:06:00
253903,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 6.4 rubio oscuro cobrizo,3.9,3.9,ud,2020-07-21 16:06:00
253904,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 7 rubio medio,3.9,3.9,ud,2020-07-21 16:06:00
253905,mercadona-es,coloracion_cabello,"Coloración permanente Deliplus 7,5.1 rubio medio ceniza",3.9,3.9,ud,2020-07-21 16:06:00
253906,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 7.1 rubio medio ceniza,3.9,3.9,ud,2020-07-21 16:06:00
253907,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 7.3 rubio medio dorado,3.9,3.9,ud,2020-07-21 16:06:00
253908,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 7.31 nude beige,3.9,3.9,ud,2020-07-21 16:06:00
253909,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 7.40 rubio cobrizo intenso,3.9,3.9,ud,2020-07-21 16:06:00
253910,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 7.77 rubio marrón intenso,3.9,3.9,ud,2020-07-21 16:06:00
253911,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 8 rubio claro,3.9,3.9,ud,2020-07-21 16:06:00
253912,mercadona-es,coloracion_cabello,"Coloración permanente Deliplus 8,5.1 rubio claro ceniza",3.9,3.9,ud,2020-07-21 16:06:00
253913,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 8.1 rubio claro ceniza,3.9,3.9,ud,2020-07-21 16:06:00
253914,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 8.3 rubio claro dorado,3.9,3.9,ud,2020-07-21 16:06:00
253915,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 8.31 nude arena,3.9,3.9,ud,2020-07-21 16:06:00
253916,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 8.44 rubio claro cobrizo,3.9,3.9,ud,2020-07-21 16:06:00
253917,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 9 rubio clarísimo,3.9,3.9,ud,2020-07-21 16:06:00
253918,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 9.1 rubio clarísimo ceniza,3.9,3.9,ud,2020-07-21 16:06:00
253919,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 9.3 rubio clarísimo dorado,3.9,3.9,ud,2020-07-21 16:06:00
253920,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 10 rubio extraclaro,3.9,3.9,ud,2020-07-21 16:06:00
253921,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 100 rubio platino natural,3.9,3.9,ud,2020-07-21 16:06:00
253922,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 101 rubio platino ceniza,3.9,3.9,ud,2020-07-21 16:06:00
253923,mercadona-es,coloracion_cabello,Coloración permanente Deliplus 103 rubio platino dorado,3.9,3.9,ud,2020-07-21 16:06:00
